open	close	type	description	rev	user
09/07/14		hold	parameter tweening and/or parameter automation		EMF
09/07/14		hold	stagger harmony voices, similar to arpeggiation		EMF
09/07/14		hold	assign note to MIDI target(s); should handle toggles as well as triggers		EMF
10/11/14		hold	switch between compatible patches without restarting engine, in response to patch change message		
12/17/14		hold	in record player, takes are hard to find in long recordings; add next/prev take buttons?		
12/19/14		hold	cycle of thirds non-diatonic rule only produces thirds if input transposition is zero or multiple of 12		
01/03/15		hold	dynamically change arpeggio length; similar to repeat but limited to a specified number of notes		
05/15/15		hold	permutations of note groups; alternate with vocabulary		
06/11/15		hold	in chart view, undoing single chord edit doesn't restore position; might be a feature		
06/16/15		hold	in chart view, Alt+Enter should open file properties dialog; not sure		
06/17/15		hold	parts bar pages should be able to show multiple selected parts; requires indeterminate state		
08/30/15		hold	optionally show dots on pressed piano keys		
11/19/15		hold	in harmony group, specify interval between each voice rather than interval relative to melody		
12/19/15		hold	in harmony group, optionally ignore collisions or resolve them by dropping notes		
03/13/16		hold	meter changes during song, both spontaneous and prearranged via sections		
08/31/13		punt	running status; driver-dependent, M-Audio 24/96 does it for closely-spaced messages, but Uno not		
09/18/13		punt	indicate MIDI input activity; MIDI input/output bars and piano views make this redundant		
09/20/13		punt	include in/out port/chan in note map, so OnNoteOff doesn't depend on part array; no need		
10/19/13		punt	intelligent dynamic split that detects hand positions and computes safe split point; hard problem		
01/30/14		punt	part output transpose; confusing, and easily doable with most MIDI instruments so no need		
03/17/14		punt	if MIDI event list is empty, resizing docked bar makes header flicker badly in Win7		
03/20/14		punt	event dialog flickers if events are added quickly; due to scrolling to end of list? double buffer?		
03/21/14		punt	hiding and reshowing two bars that share a dock gives unexpected sizes; affects all apps		
04/05/14		punt	parts bar MIDI target row view initially doesn't show scroll bars until resized; can't reproduce it		
07/09/14		punt	chord type popup menu is inconveniently long; replace with popup drop list? (use chord bar instead)		
11/11/14		punt	if part MIDI target edit is ended by selecting different part in parts list, wrong part is updated		
08/31/13		todo	vocabulary with user supplying rhythym		
08/31/13		todo	continuous vocabulary while key pressed		
09/18/13		todo	view showing map of keyboard and which are or will be good and/or common tones		
09/18/13		todo	endings		
10/05/13		todo	numbers system; four-note octave?		
11/17/13		todo	correct held notes at fraction of their original velocity, proportional to decay		
11/29/13		todo	auto play should respect harmonic anticipation		
12/07/13		todo	auto play hold; create static harmony via held note corrector		
12/16/13		todo	detect chromatic runs and substitute chromatic scale		
02/08/14		todo	playlist		
04/12/14		todo	user-defined scales, in addition to built-in ones		
04/12/14		todo	manually arpeggiated comp		
04/13/14		todo	in flat keys, B should be Cb, and in sharp keys, Db should be C#		
04/13/14		todo	scale shifts by a whole step when key changes from B to Gb or similar cases		
04/13/14		todo	MIDI setup wizard		
04/28/14		todo	time bar showing current song position (or elapsed time) in big font		
06/01/14		todo	hi-res icons		
11/19/15		todo	fixed bass approach should skip chords with durations less than approach length		
01/19/16		todo	editing song resets software synth to default patches		
